ID,brand,name,category,description,ingredients,price_rsd,shade
10054,LuxeSkin,PureMatte Foundation,bb cream,Moisturizing texture with natural finish. Infused with nourishing ingredients for radiant look.,"titanium dioxide, aloe vera extract, shea butter, niacinamide, hyaluronic acid",5642,
10055,Glamora,SilkySmooth Mascara,bb cream,High coverage and lightweight feel. Long-lasting formula with smooth application.,"niacinamide, aloe vera extract, vitamin e, iron oxides, mica",2832,
10056,ColorMuse,SoftBlend Eyeshadow,bb cream,"Matte effect that lasts all day. Soft, creamy formula suitable for all skin types.","water, vitamin e, silica, mica, cetearyl alcohol",3373,
10057,SkinTone,HydraWear Concealer,bb cream,High coverage and lightweight feel. Infused with nourishing ingredients for radiant look.,"hyaluronic acid, cetearyl alcohol, mica, dimethicone, titanium dioxide",611,
10058,FaceCraft,ShineLess Powder,bb cream,"Soft, creamy formula suitable for all skin types. Buildable coverage and comfortable wear all day.","panthenol, hyaluronic acid, mica, cetyl alcohol, shea butter",8685,
10059,AuraBeauty,CloudTint Cream Blush,bb cream,Intense color payoff with easy blendability. High coverage and lightweight feel.,"cetyl alcohol, iron oxides, niacinamide, shea butter, dimethicone",6608,
10060,ProLuxe,LashLift Mascara,bb cream,Matte effect that lasts all day. Long-lasting formula with smooth application.,"tocopherol, dimethicone, cetyl alcohol, panthenol, glycerin",6018,
10061,MakeUpArt,NudeBloom Lip Gloss,bb cream,Buildable coverage and comfortable wear all day. Long-lasting formula with smooth application.,"water, hyaluronic acid, niacinamide, panthenol, cetearyl alcohol",4204,
10062,Cosmetica,Velvet Touch Lipstick,bb cream,Intense color payoff with easy blendability. Long-lasting formula with smooth application.,"silica, mica, panthenol, cetearyl alcohol, dimethicone",8063,
10063,Golden Rose,Golden Rose Bb cream,bb cream,Infused with nourishing ingredients for radiant look. Moisturizing texture with natural finish.,"silica, aloe vera extract, niacinamide, glycerin, dimethicone",2531,
10064,Lanc̫me,Lanc̫me Bb cream,bb cream,Intense color payoff with easy blendability. Buildable coverage and comfortable wear all day.,"hyaluronic acid, water, shea butter, cetearyl alcohol, vitamin e",682,
10065,BeautyPro,Radiant Glow Blush,bb cream,Long-lasting formula with smooth application. Intense color payoff with easy blendability.,"hyaluronic acid, panthenol, iron oxides, titanium dioxide, silica",3440,
10066,LuxeSkin,PureMatte Foundation,bb cream,Buildable coverage and comfortable wear all day. High coverage and lightweight feel.,"aloe vera extract, mica, niacinamide, hyaluronic acid, iron oxides",6251,
10067,Glamora,SilkySmooth Mascara,bb cream,Infused with nourishing ingredients for radiant look. Intense color payoff with easy blendability.,"titanium dioxide, iron oxides, cetyl alcohol, shea butter, silica",8920,
10068,ColorMuse,SoftBlend Eyeshadow,bb cream,Infused with nourishing ingredients for radiant look. Long-lasting formula with smooth application.,"niacinamide, iron oxides, tocopherol, hyaluronic acid, titanium dioxide",1347,
10069,SkinTone,HydraWear Concealer,bb cream,"Moisturizing texture with natural finish. Soft, creamy formula suitable for all skin types.","vitamin e, shea butter, tocopherol, cetearyl alcohol, niacinamide",8682,
10070,FaceCraft,ShineLess Powder,bb cream,Moisturizing texture with natural finish. Matte effect that lasts all day.,"cetearyl alcohol, panthenol, cetyl alcohol, water, vitamin e",3583,
10071,AuraBeauty,CloudTint Cream Blush,bb cream,Long-lasting formula with smooth application. Buildable coverage and comfortable wear all day.,"glycerin, water, cetearyl alcohol, aloe vera extract, vitamin e",512,
10072,ProLuxe,LashLift Mascara,bb cream,"Soft, creamy formula suitable for all skin types. Intense color payoff with easy blendability.","tocopherol, shea butter, glycerin, mica, vitamin e",509,
10073,MakeUpArt,NudeBloom Lip Gloss,bb cream,Matte effect that lasts all day. Infused with nourishing ingredients for radiant look.,"vitamin e, dimethicone, cetearyl alcohol, glycerin, hyaluronic acid",734,
10074,Cosmetica,Velvet Touch Lipstick,bb cream,Intense color payoff with easy blendability. Matte effect that lasts all day.,"dimethicone, silica, cetyl alcohol, panthenol, mica",3033,
10075,BeautyPro,Radiant Glow Blush,bb cream,Buildable coverage and comfortable wear all day. High coverage and lightweight feel.,"iron oxides, silica, glycerin, hyaluronic acid, aloe vera extract",7174,
10076,LuxeSkin,PureMatte Foundation,bb cream,"Soft, creamy formula suitable for all skin types. High coverage and lightweight feel.","niacinamide, cetearyl alcohol, cetyl alcohol, hyaluronic acid, iron oxides",5797,
10077,Glamora,SilkySmooth Mascara,bb cream,"Soft, creamy formula suitable for all skin types. Intense color payoff with easy blendability.","hyaluronic acid, water, mica, cetearyl alcohol, shea butter",8969,
10078,ColorMuse,SoftBlend Eyeshadow,bb cream,"Intense color payoff with easy blendability. Soft, creamy formula suitable for all skin types.","aloe vera extract, panthenol, mica, water, titanium dioxide",5202,
10079,SkinTone,HydraWear Concealer,bb cream,"Soft, creamy formula suitable for all skin types. Long-lasting formula with smooth application.","niacinamide, titanium dioxide, tocopherol, aloe vera extract, cetyl alcohol",3423,
10080,FaceCraft,ShineLess Powder,bb cream,"Infused with nourishing ingredients for radiant look. Soft, creamy formula suitable for all skin types.","mica, dimethicone, vitamin e, water, hyaluronic acid",6561,
10081,AuraBeauty,CloudTint Cream Blush,bb cream,"Buildable coverage and comfortable wear all day. Soft, creamy formula suitable for all skin types.","mica, vitamin e, dimethicone, hyaluronic acid, panthenol",5470,
10082,ProLuxe,LashLift Mascara,bb cream,Moisturizing texture with natural finish. Buildable coverage and comfortable wear all day.,"hyaluronic acid, panthenol, iron oxides, silica, glycerin",6390,
10083,MakeUpArt,NudeBloom Lip Gloss,bb cream,Intense color payoff with easy blendability. Long-lasting formula with smooth application.,"shea butter, cetyl alcohol, cetearyl alcohol, vitamin e, mica",4266,
10084,Cosmetica,Velvet Touch Lipstick,bb cream,Moisturizing texture with natural finish. Buildable coverage and comfortable wear all day.,"niacinamide, aloe vera extract, water, glycerin, hyaluronic acid",1668,
10085,BeautyPro,Radiant Glow Blush,bb cream,Buildable coverage and comfortable wear all day. Long-lasting formula with smooth application.,"shea butter, hyaluronic acid, silica, cetyl alcohol, mica",5471,
10086,LuxeSkin,PureMatte Foundation,bb cream,"Soft, creamy formula suitable for all skin types. Long-lasting formula with smooth application.","shea butter, glycerin, dimethicone, titanium dioxide, tocopherol",7156,
10087,Max Factor,Max Factor Bb cream,bb cream,Infused with nourishing ingredients for radiant look. Moisturizing texture with natural finish.,"cetyl alcohol, water, panthenol, cetearyl alcohol, mica",8892,
10088,Glamora,SilkySmooth Mascara,bb cream,Infused with nourishing ingredients for radiant look. Matte effect that lasts all day.,"dimethicone, water, vitamin e, cetearyl alcohol, cetyl alcohol",5176,
10089,ColorMuse,SoftBlend Eyeshadow,bb cream,Long-lasting formula with smooth application. High coverage and lightweight feel.,"dimethicone, hyaluronic acid, cetyl alcohol, panthenol, tocopherol",5748,
10090,SkinTone,HydraWear Concealer,bb cream,"Soft, creamy formula suitable for all skin types. Long-lasting formula with smooth application.","shea butter, titanium dioxide, dimethicone, glycerin, vitamin e",2727,
10091,FaceCraft,ShineLess Powder,bb cream,"Long-lasting formula with smooth application. Soft, creamy formula suitable for all skin types.","water, titanium dioxide, glycerin, cetearyl alcohol, shea butter",7555,
10092,AuraBeauty,CloudTint Cream Blush,bb cream,Matte effect that lasts all day. Intense color payoff with easy blendability.,"cetearyl alcohol, niacinamide, mica, glycerin, dimethicone",771,
10093,ProLuxe,LashLift Mascara,bb cream,"Soft, creamy formula suitable for all skin types. Infused with nourishing ingredients for radiant look.","tocopherol, niacinamide, panthenol, water, hyaluronic acid",7598,
10094,MakeUpArt,NudeBloom Lip Gloss,bb cream,Moisturizing texture with natural finish. High coverage and lightweight feel.,"silica, water, vitamin e, panthenol, tocopherol",7784,
10095,Cosmetica,Velvet Touch Lipstick,bb cream,"Soft, creamy formula suitable for all skin types. Matte effect that lasts all day.","niacinamide, dimethicone, vitamin e, water, shea butter",7635,
10096,BeautyPro,Radiant Glow Blush,bb cream,"Long-lasting formula with smooth application. Soft, creamy formula suitable for all skin types.","titanium dioxide, panthenol, vitamin e, hyaluronic acid, glycerin",360,
10097,LuxeSkin,PureMatte Foundation,bb cream,Long-lasting formula with smooth application. High coverage and lightweight feel.,"cetyl alcohol, dimethicone, aloe vera extract, glycerin, shea butter",4051,
10098,Glamora,SilkySmooth Mascara,bb cream,Infused with nourishing ingredients for radiant look. Intense color payoff with easy blendability.,"niacinamide, cetearyl alcohol, glycerin, panthenol, vitamin e",7039,
10099,ColorMuse,SoftBlend Eyeshadow,bb cream,Buildable coverage and comfortable wear all day. Intense color payoff with easy blendability.,"cetearyl alcohol, cetyl alcohol, aloe vera extract, shea butter, glycerin",2965,
10100,SkinTone,HydraWear Concealer,bb cream,Buildable coverage and comfortable wear all day. Moisturizing texture with natural finish.,"glycerin, dimethicone, niacinamide, hyaluronic acid, aloe vera extract",5467,
10101,FaceCraft,ShineLess Powder,bb cream,"Long-lasting formula with smooth application. Soft, creamy formula suitable for all skin types.","tocopherol, cetearyl alcohol, glycerin, cetyl alcohol, silica",802,
10102,AuraBeauty,CloudTint Cream Blush,bb cream,Infused with nourishing ingredients for radiant look. Matte effect that lasts all day.,"vitamin e, iron oxides, panthenol, shea butter, cetearyl alcohol",4320,
10103,ProLuxe,LashLift Mascara,bb cream,Buildable coverage and comfortable wear all day. Long-lasting formula with smooth application.,"shea butter, tocopherol, titanium dioxide, panthenol, glycerin",5409,
10104,MakeUpArt,NudeBloom Lip Gloss,bb cream,"Soft, creamy formula suitable for all skin types. Moisturizing texture with natural finish.","vitamin e, hyaluronic acid, mica, aloe vera extract, cetearyl alcohol",3245,
10105,Cosmetica,Velvet Touch Lipstick,bb cream,Infused with nourishing ingredients for radiant look. Long-lasting formula with smooth application.,"shea butter, dimethicone, cetyl alcohol, niacinamide, aloe vera extract",4922,
10106,BeautyPro,Radiant Glow Blush,bb cream,Infused with nourishing ingredients for radiant look. Long-lasting formula with smooth application.,"tocopherol, shea butter, panthenol, mica, titanium dioxide",6690,
10107,LuxeSkin,PureMatte Foundation,bb cream,Moisturizing texture with natural finish. High coverage and lightweight feel.,"cetyl alcohol, mica, water, aloe vera extract, vitamin e",2024,
10108,Glamora,SilkySmooth Mascara,bb cream,Long-lasting formula with smooth application. Intense color payoff with easy blendability.,"glycerin, water, shea butter, tocopherol, silica",2750,
10109,ColorMuse,SoftBlend Eyeshadow,bb cream,Infused with nourishing ingredients for radiant look. Matte effect that lasts all day.,"panthenol, niacinamide, tocopherol, shea butter, cetearyl alcohol",8694,
10110,SkinTone,HydraWear Concealer,bb cream,Infused with nourishing ingredients for radiant look. Moisturizing texture with natural finish.,"iron oxides, titanium dioxide, glycerin, cetyl alcohol, silica",6351,
10111,FaceCraft,ShineLess Powder,bb cream,Matte effect that lasts all day. High coverage and lightweight feel.,"water, silica, titanium dioxide, cetearyl alcohol, shea butter",5530,
10112,AuraBeauty,CloudTint Cream Blush,bb cream,"High coverage and lightweight feel. Soft, creamy formula suitable for all skin types.","iron oxides, shea butter, mica, cetearyl alcohol, dimethicone",3090,
10113,ProLuxe,LashLift Mascara,bb cream,"Soft, creamy formula suitable for all skin types. Matte effect that lasts all day.","water, hyaluronic acid, panthenol, glycerin, titanium dioxide",8666,
10114,MakeUpArt,NudeBloom Lip Gloss,bb cream,"High coverage and lightweight feel. Soft, creamy formula suitable for all skin types.","mica, tocopherol, niacinamide, cetyl alcohol, iron oxides",8227,
10115,Cosmetica,Velvet Touch Lipstick,bb cream,"Soft, creamy formula suitable for all skin types. Intense color payoff with easy blendability.","silica, aloe vera extract, cetyl alcohol, niacinamide, vitamin e",5514,
10116,BeautyPro,Radiant Glow Blush,bb cream,Matte effect that lasts all day. High coverage and lightweight feel.,"cetyl alcohol, cetearyl alcohol, vitamin e, mica, dimethicone",3330,
10117,LuxeSkin,PureMatte Foundation,bb cream,Intense color payoff with easy blendability. Long-lasting formula with smooth application.,"dimethicone, tocopherol, titanium dioxide, water, vitamin e",7020,
10118,Glamora,SilkySmooth Mascara,bb cream,"Long-lasting formula with smooth application. Soft, creamy formula suitable for all skin types.","cetyl alcohol, tocopherol, cetearyl alcohol, water, titanium dioxide",3068,
10119,ColorMuse,SoftBlend Eyeshadow,bb cream,Moisturizing texture with natural finish. Long-lasting formula with smooth application.,"cetearyl alcohol, vitamin e, aloe vera extract, iron oxides, dimethicone",708,
10120,SkinTone,HydraWear Concealer,bb cream,Matte effect that lasts all day. Long-lasting formula with smooth application.,"aloe vera extract, silica, vitamin e, panthenol, cetearyl alcohol",5018,
10121,FaceCraft,ShineLess Powder,bb cream,Long-lasting formula with smooth application. Intense color payoff with easy blendability.,"niacinamide, iron oxides, panthenol, titanium dioxide, cetyl alcohol",2147,
10122,AuraBeauty,CloudTint Cream Blush,bb cream,Intense color payoff with easy blendability. Matte effect that lasts all day.,"panthenol, cetearyl alcohol, titanium dioxide, vitamin e, cetyl alcohol",3867,
10123,ProLuxe,LashLift Mascara,bb cream,Intense color payoff with easy blendability. Buildable coverage and comfortable wear all day.,"mica, silica, cetearyl alcohol, titanium dioxide, niacinamide",2083,
10124,MakeUpArt,NudeBloom Lip Gloss,bb cream,Infused with nourishing ingredients for radiant look. High coverage and lightweight feel.,"dimethicone, iron oxides, panthenol, vitamin e, mica",1963,
10125,Cosmetica,Velvet Touch Lipstick,bb cream,Matte effect that lasts all day. Intense color payoff with easy blendability.,"silica, vitamin e, cetyl alcohol, cetearyl alcohol, aloe vera extract",2658,
10126,BeautyPro,Radiant Glow Blush,bb cream,Buildable coverage and comfortable wear all day. High coverage and lightweight feel.,"glycerin, mica, niacinamide, vitamin e, silica",5050,
10127,LuxeSkin,PureMatte Foundation,bb cream,Long-lasting formula with smooth application. Matte effect that lasts all day.,"panthenol, glycerin, silica, tocopherol, shea butter",7891,
10128,Glamora,SilkySmooth Mascara,bb cream,Matte effect that lasts all day. Buildable coverage and comfortable wear all day.,"silica, vitamin e, cetyl alcohol, mica, panthenol",7312,
10129,ColorMuse,SoftBlend Eyeshadow,bb cream,"Intense color payoff with easy blendability. Soft, creamy formula suitable for all skin types.","dimethicone, panthenol, aloe vera extract, shea butter, vitamin e",2869,
10130,SkinTone,HydraWear Concealer,bb cream,"Soft, creamy formula suitable for all skin types. Buildable coverage and comfortable wear all day.","mica, glycerin, water, niacinamide, titanium dioxide",773,
10131,FaceCraft,ShineLess Powder,bb cream,Infused with nourishing ingredients for radiant look. Matte effect that lasts all day.,"glycerin, dimethicone, cetyl alcohol, panthenol, niacinamide",3856,
10132,AuraBeauty,CloudTint Cream Blush,bb cream,"Soft, creamy formula suitable for all skin types. Matte effect that lasts all day.","water, shea butter, cetyl alcohol, panthenol, aloe vera extract",1658,
10133,ProLuxe,LashLift Mascara,bb cream,Intense color payoff with easy blendability. Moisturizing texture with natural finish.,"dimethicone, hyaluronic acid, aloe vera extract, titanium dioxide, panthenol",864,
10134,MakeUpArt,NudeBloom Lip Gloss,bb cream,Long-lasting formula with smooth application. Matte effect that lasts all day.,"titanium dioxide, niacinamide, tocopherol, shea butter, water",5999,
10135,Cosmetica,Velvet Touch Lipstick,bb cream,Infused with nourishing ingredients for radiant look. Long-lasting formula with smooth application.,"vitamin e, water, tocopherol, hyaluronic acid, dimethicone",1668,
10136,BeautyPro,Radiant Glow Blush,bb cream,Intense color payoff with easy blendability. Moisturizing texture with natural finish.,"panthenol, niacinamide, glycerin, vitamin e, water",6713,
10137,LuxeSkin,PureMatte Foundation,bb cream,Long-lasting formula with smooth application. Buildable coverage and comfortable wear all day.,"water, iron oxides, panthenol, cetearyl alcohol, vitamin e",3685,
10138,Glamora,SilkySmooth Mascara,bb cream,High coverage and lightweight feel. Moisturizing texture with natural finish.,"shea butter, mica, water, panthenol, vitamin e",8578,
10139,ColorMuse,SoftBlend Eyeshadow,bb cream,High coverage and lightweight feel. Infused with nourishing ingredients for radiant look.,"niacinamide, aloe vera extract, cetyl alcohol, hyaluronic acid, panthenol",1717,
10140,SkinTone,HydraWear Concealer,bb cream,Long-lasting formula with smooth application. Intense color payoff with easy blendability.,"niacinamide, glycerin, cetyl alcohol, iron oxides, cetearyl alcohol",6537,
10141,FaceCraft,ShineLess Powder,bb cream,Matte effect that lasts all day. Moisturizing texture with natural finish.,"tocopherol, panthenol, hyaluronic acid, dimethicone, shea butter",2980,
10142,AuraBeauty,CloudTint Cream Blush,bb cream,"Soft, creamy formula suitable for all skin types. High coverage and lightweight feel.","panthenol, titanium dioxide, cetyl alcohol, dimethicone, aloe vera extract",645,
10143,ProLuxe,LashLift Mascara,bb cream,Intense color payoff with easy blendability. High coverage and lightweight feel.,"vitamin e, glycerin, cetearyl alcohol, iron oxides, panthenol",8663,
10144,MakeUpArt,NudeBloom Lip Gloss,bb cream,Intense color payoff with easy blendability. Moisturizing texture with natural finish.,"cetearyl alcohol, shea butter, tocopherol, mica, titanium dioxide",7411,
10145,Cosmetica,Velvet Touch Lipstick,bb cream,Buildable coverage and comfortable wear all day. High coverage and lightweight feel.,"vitamin e, aloe vera extract, dimethicone, panthenol, cetyl alcohol",7546,
10146,BeautyPro,Radiant Glow Blush,bb cream,"Infused with nourishing ingredients for radiant look. Soft, creamy formula suitable for all skin types.","mica, cetyl alcohol, glycerin, titanium dioxide, panthenol",8660,
10147,LuxeSkin,PureMatte Foundation,bb cream,"Infused with nourishing ingredients for radiant look. Soft, creamy formula suitable for all skin types.","shea butter, panthenol, cetearyl alcohol, iron oxides, niacinamide",5124,
10148,Glamora,SilkySmooth Mascara,bb cream,"Soft, creamy formula suitable for all skin types. High coverage and lightweight feel.","titanium dioxide, shea butter, tocopherol, mica, vitamin e",1671,
10149,ColorMuse,SoftBlend Eyeshadow,bb cream,Intense color payoff with easy blendability. Infused with nourishing ingredients for radiant look.,"mica, iron oxides, water, niacinamide, cetyl alcohol",6023,
10150,SkinTone,HydraWear Concealer,bb cream,"Buildable coverage and comfortable wear all day. Soft, creamy formula suitable for all skin types.","titanium dioxide, tocopherol, shea butter, dimethicone, aloe vera extract",4310,
